"PHU","PHU_fr","accessible","active","additional_information","additional_information_fr","address","address_fr","after_hours","age_threshold","appointments","asl_interpretation","children_under_2","city","drive_through","email","first_nations","free_parking","french_language_services","friday","general_population","holiday_hours","location_id","latitude","location_name","location_name_fr","longitude","monday","operated_by","operated_by_fr","paid_parking","pharmacy","phone","phu_id","postal_code","province","public_transit","region","region_fr","saturday","sunday","symptomatic","temporarily_closed","thursday","tuesday","walk_ins","website","wednesday","weeks_pregnant"
"Simcoe Muskoka District Health Unit","Bureau de santé publique du district de Simcoe-Muskoka","Yes",,,,"100 Frank Miller Drive","100 chemin Frank Miller",,"0m","Yes","No","","Huntsville","Yes",,"Moose Deer Point and Wahta First Nations","Yes","No","9:00-17:00","Yes",,"11","45.339214","Huntsville District Memorial Hospital","Hôpital Memorial du district de Huntsville","-79.205680","9:00-17:00","Muskoka Algonquin Healthcare","Muskoka Algonquin Healthcare",,,"888-383-7009","2","P1H 1H7","ON","No","Central","Centre","","","Yes","Yes","9:00-17:00","9:00-17:00","No","https://www.mahc.ca/en/services/covid19.aspx#","9:00-17:00",
"Simcoe Muskoka District Health Unit","Bureau de santé publique du district de Simcoe-Muskoka","Yes","Yes","Appointments can also be booked by calling 1-888-589-4109 from 8 am to 4 pm.
https://www.osmh.on.ca/covid-19/
Do not enter Rotary Place at the main entrance. Follow the signs and access the Assessment Centre through the dedicated entrance at the side of the building.  Please follow the directions for exiting the building.
",,"100 University Avenue",,,"0m","Yes","No","","Orillia","No",,"Rama First Nation","Yes","No","11:00-18:30","Yes",,"12","44.589157","Orillia Soldiers' Memorial Hospital","Hôpital Soldiers' Memorial d'Orillial","-79.455401","11:00-18:30","Orillia Soldiers' Memorial Hospital","Hôpital Soldiers' Memorial d'Orillial",,,"888-589-4109","2","L3V 6H2
","ON","Yes","Central","Centre","11:00-14:30","11:00-14:30","Yes",,"11:00-18:30","11:00-18:30","No ","https://www.osmh.on.ca/covid-19/","11:00-18:30",
"Simcoe Muskoka District Health Unit","Bureau de santé publique du district de Simcoe-Muskoka","Yes","Yes","Located in the rear building behind the Huronia Urgent Care Clinic.
https://v2.waitwhile.com/book/barriecovidtesting",,"490 Huronia Road","490 chemin Huronia",,"0m","Yes","No","","Barrie","No",,,"Yes","No","8:30-16:30",,,"13","44.347160","Barrie Community Health Centre","Barrie Community Health Centre","-79.665693","8:30-16:30","Barrie Community Health Centre","Barrie Community Health Centre",,,,"2","L4N 6M2","ON","Yes","Central","Centre",,,"Yes",,"8:30-16:30","8:30-16:30","No ","https://barriehealth.ca/","8:30-16:30",
"York Region Public Health Services","Service de santé de la région de York","Yes","Yes","The assessment centre is located in the Town of Newmarket’s Seniors’ Meeting place. Park at the rear of the building follow signs to entrance.  Call 289-803-2199 to book an appointment.",,"474 Davis Drive","474 chemin Davis",,"0m","Yes","Yes","","Newmarket","No",,,,"Yes","08:00-21:00",,,"14","44.059290","Southlake Regional Health Centre","Southlake Regional Health Centre","-79.458347","08:00-21:00","Southlake Regional Health Centre","Southlake Regional Health Centre","Yes",,"289-803-2199","5","L3Y 2P3","ON","Yes","Central","Centre","08:00-21:00","08:00-21:00","Yes",,"08:00-21:00","08:00-21:00","Yes","https://southlake.ca/","08:00-21:00",
"Simcoe Muskoka District Health Unit","Bureau de santé publique du district de Simcoe-Muskoka","Yes","Yes","Please call 249-501-0383 to book an appointment. 
Drive-through centre located in the back parking lot.",,"200 Fletcher Crescent","200 Fletcher Crescent",,"2y","Yes","No","No","Alliston","Yes",,,,"No","9:00-17:00",,,"15","44.155578","Stevenson Memorial Hospital","Hôpital Stevenson Memorial","-79.875078","9:00-17:00","Stevenson Memorial Hospital","Hôpital Stevenson Memorial","Yes",,"249-501-0383","2","L9R 1W7","ON","No","Central","Centre","","","Yes",,"","","No ","http://www.stevensonhospital.ca/news/index.html?id=265","9:00-17:00",
"Peel Public Health","Bureau de santé de la région de Peel","Yes","Yes","Appointments can be booked through https://trilliumhealthpartners.ca/assessment",,"15 Bronte College Court","15 Bronte College Court",,"1y","Yes","No","","Mississauga","No",,,"Yes","No","8:30-19:30",,,"16","43.572542","Mississauga Hospital - Clinical Administrative Building",,"-79.606440","8:30-19:30","Trillium Health Partners ","Trillium Health Partners ",,,"","6","L5B 1M9","ON","Yes","Central","Centre","8:30-19:30","8:30-19:30","Yes",,"8:30-19:30","8:30-19:30","No ","https://trilliumhealthpartners.ca/assessment","8:30-19:30",
"Peel Public Health","Bureau de santé de la région de Peel","Yes","Yes","Appointments can be booked through the website. https://trilliumhealthpartners.ca/assessment
Drive-through only.",,"2200 Eglinton Avenue West","2200 chemin Eglinton Ouest",,"18y","Yes","No","No","Mississauga","Yes",,,"Yes","Yes","8:30-19:30",,,"17","43.558655","Credit Valley – Drive-Thru","Hôpital Credit Valley - Drive-Thru","-79.703279","8:30-19:30","Trillium Health Partners","Trillium Health Partners",,,,"6","L5M 2N1","ON","Yes","Central","Centre","8:30-19:30","8:30-19:30","Yes",,"8:30-19:30","8:30-19:30","No ","https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere","8:30-19:30",
"Peel Public Health","Bureau de santé de la région de Peel","No","Yes","Appointments can be booked through the website.",,"2200 Eglinton Avenue West","2200 chemin Eglinton Ouest",,"1y","Yes","No","","Mississauga","No",,,"Yes","Yes","8:30-19:30",,,"18","43.558655","Credit Valley Hospital – Valley House","Credit Valley Hospital – Valley House","-79.703279","8:30-19:30","Trillium Health Partners","Trillium Health Partners",,,"","6","L5M 2N1","ON","Yes","Central","Centre","8:30-19:30","8:30-19:30","Yes",,"8:30-19:30","8:30-19:30","No ","https://trilliumhealthpartners.ca/covid-19/A/assessment.html#starthere","8:30-19:30",
"Toronto Public Health","Bureau de santé de Toronto","Yes","Yes","Call this number for booking 905-487-1249",,"2 Janda Court","2 Janda Court",,"2y","Yes","No","","Etobicoke","Yes",,,"Yes","No","8:00-18:00",,,"19","43.723113","William Osler Health System - Etobicoke Drive-thru","William Osler Health System - Etobicoke Drive-thru","-79.601028","8:00-18:00","William Osler Health System","William Osler Health System",,,"905-487-1249","6","M9W 0A4","ON","Yes","Central","Centre","8:00-18:00","8:00-18:00","Yes",,"8:00-18:00","8:00-18:00","No ","https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19","8:00-18:00",
"Peel Public Health","Bureau de santé de la région de Peel","Yes","Yes","Please call 905-487-1249 for appointment bookings. 
Located in the north parking lot of the South Fletcher’s Sportsplex, at the intersection of McLaughlin Road and Ray Lawson Boulevard.
Signs are posted at entry points. Enter off of McLaughlin Road.",,"500 Ray Lawson Boulevard","500 boulevard Ray Lawson",,"2y","Yes","No","","Brampton","Yes",,,"Yes","No","8:00-18:00",,,"20","43.652811","William Osler Health System - Brampton, South Fletcher's Sportsplex","William Osler Health System - Brampton, South Fletcher's Sportsplex","-79.735964","8:00-18:00","William Osler Health System","William Osler Health System",,,"905-487-1249","6","L6W 2Z8","ON","Yes","Central","Centre","8:00-18:00","8:00-18:00","Yes",,"8:00-18:00","8:00-18:00","No ","https://www.williamoslerhs.ca/patients-and-families/preparing-for-your-visit-or-stay/coronavirus-information-for-patients-families/assessment-centre-for-covid-19","8:00-18:00",
"Leeds, Grenville and Lanark District Health Unit","Bureau de santé du district de Leeds","Yes","Yes","Located at the corner of Spring Street and State Street in the brick building behind Almonte General Hospital's Emergency Department.

Please call to schedule an appointment and leave a message if needed. One of the clinic nurses will call back with an appointment time. Parking is available at the Centre.&nbsp; 
",,"75 Spring Street",,,"2y","Yes","No","No","Almonte","Yes",,,"Yes","No","10:00-18:00",,"Closed ","21","45.228961","Almonte General Hospital","Hôpital général d'Almonte","-76.189452","10:00-18:00","Almonte General Hospital","Hôpital général d'Almonte",,,"613-325-1208","7","K0A 1A0","ON","No","East","Est","10:00-18:00","10:00-18:00","Yes",,"10:00-18:00","10:00-18:00","No","http://www.almontegeneral.com/assessmentcentre","10:00-18:00",
"Leeds, Grenville and Lanark District Health Unit","Bureau de santé du district de Leeds","Yes","Yes",,,"100 Magedoma Blvd","100 boul. Magedoma",,"0m","Yes","No","Yes","Brockville","No",,,"Yes","No","10:00-17:30",,"10:00-14:30","22","44.610024","Brockville General Hospital","Hôpital général de Brockville","-75.699937","10:00-17:30","Brockville General Hospital","Hôpital général de Brockville",,,"613-704-1441","7","K6V 7J5","ON",,"East","Est","10:00-14:30","10:00-14:30","Yes",,"10:00-17:30","10:00-17:30","Yes","https://www.brockvillegeneralhospital.ca/en/patient-care/covid-19-coronavirus.aspx#","10:00-17:30",
"Ottawa Public Health","Bureau de santé publique d'Ottawa","Yes","Yes","Follow the signage for parking. Enter from Bronson Avenue.
Can test anyone 2months-18 years of age by appointment. 
Free parking available
Near public transit
French-language services available
Accommodates wheelchairs and mobility devices",,"151 Brewer Way","151 chemin Brewer Way",,"2m","Yes","No","Yes","Ottawa","No",,,"Yes","Yes","08:30-15:30",,"8:30-19:30","23","45.389239","Brewer Park Arena (CHEO)","Brewer Park Arena (CHEO)","-75.690478","08:30-19:30","CHEO","CHEO",,,"613-737-7600 ext. 6720","8","K1S 5T1","ON","Yes","East","Est","08:30-15:30","08:30-15:30","Yes",,"08:30-19:30","08:30-19:30","Yes","https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx","08:30-19:30",
"Ottawa Public Health","Bureau de santé publique d'Ottawa","Yes","Yes","Follow the signage for parking. Enter from Bronson Avenue.
18 years and older: by appointment
Free parking available
Near public transit
French-language services available
Accommodates wheelchairs and mobility devices",,"151 Brewer Way","151 chemin Brewer Way",,"2m","Yes","No","Yes","Ottawa","No",,,"Yes","Yes","08:30-15:30",,"8:30-19:30","24","45.389239","Brewer Park Arena (The Ottawa Hospital)","Brewer Park Arena (The Ottawa Hospital)","-75.690478","08:30-19:30","The Ottawa Hospital","L'Hôpital d'Ottawa",,,"613-737-8193","8","K1S 5T1","ON","Yes","East","Est","08:30-15:30","08:30-15:30","Yes",,"08:30-19:30","08:30-19:30","Yes","https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx","08:30-19:30",
"Eastern Ontario Health Unit","Bureau de santé de l'est de l'Ontario","Yes","Yes","Park in a designated area in the Emergency Lot: Parking is free. Arrive at the exact time of your appointment (not earlier). Please wait outside and someone will greet you at the door. Bring only a health card and mask.",,"850 McConnell Avenue","850 avenue McConnell",,"0m","Yes","No","Yes","Cornwall","No",,,"Yes","Yes","8:00-16:00",,"Closed ","25","45.030101","Cornwall COVID-19 Assessment Centre","Cornwall - Centre d’évaluation pour la COVID-19","-74.717964","8:00-20:00","Cornwall Community Hospital","Hôpital communautaire de Cornwall",,,"343-475-0160","9","K6H 4M3","ON","Yes","East","Est","8:00-16:00",,"Yes",,"8:00-20:00","8:00-16:00","No","https://eohu.ca/en/covid/covid-19-testing-assessment-centres    ","8:00-16:00",
"Ottawa Public Health","Bureau de santé publique d'Ottawa","","Yes",,,"24 Selkirk Street, Suite 300","24 rue Selkirk",,"0m","Yes",,"","Ottawa","No","generalinfo@aifht.ca","Inuit",,,"09:00-17:00",,"Closed ","26","45.431716","Akausivik Inuit Family Health Team - COVID-19 Assessment Centre ","Akausivik Inuit Family Health Team -Centre d'èvaluation de la COVID-19 ","-75.667688","09:00-17:00","Akausivik Inuit Family Health Team","Akausivik Inuit Family Health Team",,,"613-740-0999","8","K1L 0A4","ON",,"East","Est","","","Yes",,"09:00-17:00","09:00-17:00","No ","https://eohu.ca/en/covid-19-novel-coronavirus","09:00-17:00",
"Haliburton, Kawartha, Pine Ridge District Health Unit","Bureau de santé du district d'Haliburton-Kawartha-Pine Ridge ","Yes","Yes","Located in the parking lot of the Haliburton Family Medical Centre. Enter from Haliburton County Road 21, on the roadway beside the high school. Patients under 2 years will be deferred to the Emergency dDepartment. Patients between 2 and 18 will be reviewed with the assessment centre physician before booking an appointment.","Situé dans le stationnement du Haliburton Family Medical Centre. Entrez à partir de la route de comté 21 à Haliburton, sur la voie d’accès derrière l’école secondaire.","7217 Gelert Road","7217 chemin Gelert",,"2y","Yes","No",,"Haliburton","Yes",,,"Yes","No","09:00-15:00",,,"27","45.039054","Haliburton Highlands Health Services","Haliburton Highlands Health Services","-78.528165","09:00-16:00","Haliburton Highlands Health Services","Haliburton Highlands Health Services",,,"705-457-1212 ext. 6","10","K0M 1S0","ON","Yes","East","Est","","","Yes",,"09:00-16:00","09:00-16:00","No","https://www.haliburtoncares.ca/","09:00-16:00",
"Eastern Ontario Health Unit","Bureau de santé de l'est de l'Ontario","Yes","Yes","Vulnerable clients and clients with cancer can get tested before opening times. If you do not have internet access or need assistance with the appointment system, call 613-632-1111, ext. 53800.","Sur rendez-vous seulement
Si vous n’avez pas accès à internet ou que vous avez besoin d’aide avec le système de rendez-vous, composez le 613-632-1111, poste 53800.
","750 Laurier Street","750 rue Laurier",,"2y","Yes","Yes","No","Hawkesbury","No",,,"Yes","Yes","9:00-17:00",,"Closed ","28","45.603834","Hawkesbury COVID-19 Assessment Centre","Hawkesbury- Centre d’évaluation pour la COVID-19","-74.598607","09:00-17:00","Hawkesbury General Hospital","Hawkesbury General Hospital",,,"613-632-1111 ext. 53800","9","K6A 3N9","ON","No","East","Est","","","Yes",,"9:00-17:00","9:00-17:00","Yes","https://eohu.ca/en/covid/covid-19-testing-assessment-centres","9:00-17:00",
"Eastern Ontario Health Unit","Bureau de santé de l'est de l'Ontario","Yes",,"No appointment offered (first come first served).
Can test anyone over 1 year old.
Drive through only.
",,"872 Principale Street","872 rue Principale",,"1y","Yes","No",,"Casselman","Yes",,,"Yes","Yes","09:00-15:00",,"Closed ","29","45.321488","Casselman COVID-19 Testing Centre","Casselman - Centre d’évaluation pour la COVID-19","-75.106032","09:00-15:00","Hawkesbury General Hospital","Hawkesbury General Hospital",,,"800-267-7120","9","K0A 1M0","ON","No","East","Est",,"","Yes","Yes","09:00-15:00","09:00-15:00","Yes","https://eohu.ca/fr/covid/covid-19-testing-assessment-centres ","09:00-15:00",
"Eastern Ontario Health Unit","Bureau de santé de l'est de l'Ontario",,"Yes",,,"2741 Chamberland Street","2741 Chemin Chamberland",,"2y","Yes",,"No","Rockland","No",,,,"Yes","09:00-15:00",,"Closed ","30","45.544511","Rockland COVID-19 Assessment Centre","Rockland - Centre d’évaluation pour la COVID-19","-75.301242","09:00-15:00","Clarence-Rockland Family Health Team","Équipe de santé familiale Clarence-Rockland",,,"800-267-7120 ","9","K4K 0B4","ON",,"East","Est",,"","Yes",,"09:00-15:00","09:00-15:00","No","https://eohu.ca/en/covid/covid-19-testing-assessment-centres  ","09:00-15:00",
"Ottawa Public Health","Bureau de santé publique d'Ottawa","Yes","Yes",,,"1485 Heron Road","1485 chemin Heron",,"6m","Yes","No","","Ottawa","No",,,"Yes","Yes","9:00-15:30",,"9:00-15:30","31","45.380420","COVID-19 Care and Testing Centre – Heron","Hôpital Montfort - Heron Location","-75.654826","9:00-15:30","Hôpital Montfort","Hôpital Montfort",,,"613-746-4621","8","K1V 6A6","ON","Yes","East","Est",,,"Yes",,"9:00-15:30","9:00-15:30","Yes","https://hopitalmontfort.com/en/second-covid-19-care-clinic-opening-ottawa-east-thursday","9:00-15:30",
"Kingston, Frontenac and Lennox & Addington Health Unit","Bureau de santé de Kingston","Yes","Yes","To book an appointment online - https://kingstonhsc.ca/patients-families-and-visitors/covid-19-information/community-assessment-centre
To book an appointment by telephone please call 613-548-2376 (between 930 a.m. and 3:30 p.m.)
The Beechgrove Complex: Enter by turning south at the King St W and Portsmouth Ave intersection and follow the signage for walk in.
",,"51 Heakes Lane",,,"6m","Yes","No","","Kingston","No",,,,"Yes","9:00-16:00",,"9:00-16:00","32","44.218676","Kingston Assessment Centre","Kingston Assessment Centre","-76.521757","9:00-16:00","Kingston Health Sciences Centre","Kingston Health Sciences Centre","Yes",,"613-548-2376","11","K7M 9B1","ON","Yes","East","Est","9:00-16:00","9:00-16:00","Yes",,"9:00-16:00","9:00-16:00","No ","https://kingstonhsc.ca/patients-families-and-visitors/covid-19-information/community-assessment-centre","9:00-16:00",
"Durham Region Health Department","Service de santé de la région de Durham","Yes",,"Please complete the online registration form. Patients will be called or emailed with an appointment time. Yes there is a separate entrance leading into the Hospital, the clinic is located right near that entrance so no other population can access.  Parking is free for the first 30 minutes. We have interpretation services for most languages.  We also have swabbed patients in their cars if it is warranted.",,"1 Hospital Court","1 Hospital Court",,"0m","Yes","Yes","","Oshawa","No",,,,"Yes","8:00-16:00",,"Closed ","33","43.905529","Lakeridge Health - Oshawa","Lakeridge Health - Oshawa","-78.869215","8:00-16:00","Lakeridge Health","Lakeridge Health","Yes",,,"12","L1G 2B9","ON","Yes","East","Est",,,"Yes","Yes","8:00-16:00","8:00-16:00","No","https://www.lakeridgehealth.on.ca/en/patientsandvisitors/novel-coronavirus-2019-ncov.asp","8:00-16:00",
"Durham Region Health Department","Service de santé de la région de Durham","Yes","Yes","Please complete the online registration form. Patients will be called or emailed with an appointment time. Separate building on hospital property.",,"580 Harwood Avenue South","580 avenue Harwood Sud",,"18y","Yes","No","No","Ajax","No",,,"No","No","8:00-18:00",,"Closed ","34","43.836799","Lakeridge Health - Ajax Pickering","Lakeridge Health - Ajax Pickering","-79.017114","8:00-18:00","Lakeridge Health","Lakeridge Health","Yes",,,"12","L1S 2J4","ON","Yes","East","Est","8:00-16:00","8:00-16:00","Yes",,"8:00-18:00","8:00-18:00","No","https://www.lakeridgehealth.on.ca/en/patientsandvisitors/novel-coronavirus-2019-ncov.asp","8:00-18:00",
"Kingston, Frontenac and Lennox & Addington Health Unit","Bureau de santé de Kingston","Yes","Yes","By appointment only",,"310 Bridge Street West","310 rue Bridge Ouest",,"0m","Yes","No","","Napanee","Yes",,,"Yes","No","9:00-15:00",,,"35","44.239028","Lennox and Addington County General Hospital","Hôpital général du comté de Lennox and Addington","-76.969627","8:30-15:30","Lennox and Addington County General Hospital","Hôpital général du comté de Lennox and Addingtonl",,,"613-354-8254","11","K7R 2Z4","ON","Yes","East","Est","8:30-15:30","9:00-15:00","Yes",,"8:30-15:30","8:30-15:30","No ","http://web.lacgh.napanee.on.ca/","9:00-15:00",
"Eastern Ontario Health Unit","Bureau de santé de l'est de l'Ontario","Yes","Yes",,,"31 Hilltop Drive","31 chemin Hilltop",,"2y","Yes",,"No","Akwesasne","Yes",,"Akwesasronon",,,"8:00-16:00","No",,"36","44.999832","Akwesasne COVID-19 Assessment Centre","Akwesasne - Centre d’évaluation pour la COVID-19","-74.654378","8:00-16:00","Mohawk Council of Akwesasne Department of Health ","Mohawk Council of Akwesasne Department of Health ",,,"613-575-5005 ext. 3704 or 613-575-2331 ext. 3702","9","H0M 1A0","QC",,"East","Est","","","Yes",,"8:00-16:00","8:00-16:00","No","http://www.akwesasne.ca/covid-19-novel-coronavirus-information/","8:00-16:00",
"Hastings and Prince Edward Counties Health Unit","Bureau de santé des comtès d'Hastings et de Prince Edward","Yes","Yes","Follow the signs, drive through into the tent, have those being assessed or tested on the driver's side of the vehicle if possible, park and turn off the car with the windows between the two tables under the tent. Phone or text your phone number to us and we will call you back to book a time. You must have an appointment so we can ensure patient safety, confidentiality and physical distancing. ",,"1 Manor Lane","1 Manor Lane",,"0m","Yes","No",,"Bancroft","Yes",,,"Yes","Yes","10:00-18:00",,,"37","45.055092","North Hastings COVID-19 Assessment Center","North Hastings COVID-19 Assessment Center","-77.864208","10:00-18:00","Quinte Healthcare Corporation","Quinte Healthcare Corporation",,,"613-332-2825 ext. 6222","13","K0L 1C0","ON","No","East","Est",,,"Yes",,"10:00-18:00","10:00-18:00","No","https://www.qhc.on.ca/covid-19.php","10:00-18:00",
